10 FRAME COLUMNS											AVERAGE		PBAG CHANCE		FRAMES PAST		SECONDS ELAPSED
165	82	169	84	42	149	74	165	210	233		137.3		0.4616		10		0.17
244	122	189	222	239	119	187	93	46	151		161.2		0.3678		20		0.33
75	165	210	105	180	218	237	246	123	61		162.0		0.3647		30		0.5
30	15	135	195	97	48	152	204	102	51		102.9		0.5965		40		0.67
25	140	198	227	241	120	60	158	79	167		141.5		0.4451		50		0.83
211	105	180	90	173	86	43	21	138	69		111.6		0.5624		60		1.0
34	145	200	100	178	89	44	150	203	101		124.4		0.5122		70		1.17
50	153	76	166	211	233	244	250	253	254		189.0		0.2588		80		1.33
255	255	127	63	159	207	103	179	89	172		160.9		0.369		90		1.5
214	107	53	154	77	166	83	169	84	170		127.7		0.4992		100		1.67
85	42	21	10	5	130	193	96	176	88		84.6		0.6682		110		1.83
172	86	43	149	202	229	114	185	92	46		131.8		0.4831		120		2.0
23	11	133	194	225	240	120	60	158	79		124.3		0.5125		130		2.17
39	147	73	36	18	137	68	162	81	168		92.9		0.6357		140		2.33
212	106	181	218	237	118	59	157	78	167		153.3		0.3988		150		2.5
83	169	212	106	53	154	205	230	115	57		138.4		0.4573		160		2.67
28	14	7	131	65	32	144	200	100	50		77.1		0.6976		170		2.83
25	140	198	227	241	120	60	30	15	135		119.1		0.5329		180		3.0
195	97	176	88	44	22	11	5	130	65		83.3		0.6733		190		3.17
32	16	8	4	130	65	32	144	72	36		53.9		0.7886		200		3.33
18	137	68	162	209	104	52	26	141	198		111.5		0.5627		210		3.5
227	241	248	124	62	159	79	167	83	41		143.1		0.4388		220		3.67
20	10	133	194	97	176	216	236	118	187		138.7		0.4561		230		3.83
93	46	23	139	197	98	177	216	236	118		134.3		0.4733		240		4.0
59	29	142	199	99	177	88	44	150	75		106.2		0.5835		250		4.17
165	210	105	180	90	173	86	43	21	10		108.3		0.5753		260		4.33
5	2	129	192	96	176	216	108	182	219		132.5		0.4804		270		4.5
109	54	155	205	102	179	217	236	246	251		175.4		0.3122		280		4.67
125	190	223	111	55	155	205	230	115	185		159.4		0.3749		290		4.83
220	238	119	59	29	14	7	3	129	64		88.2		0.6541		300		5.0
160	208	232	116	186	93	174	215	235	245		186.4		0.269		310		5.17
122	189	94	47	151	75	37	146	201	228		129.0		0.4941		320		5.33
114	57	156	206	103	179	89	44	22	11		98.1		0.6153		330		5.5
133	66	33	144	200	100	50	25	140	70		96.1		0.6231		340		5.67
35	145	72	36	18	9	4	2	1	128		45.0		0.8235		350		5.83
64	32	16	136	68	34	17	8	4	2		38.1		0.8506		360		6.0
129	64	32	16	136	68	34	145	200	100		92.4		0.6376		370		6.17
50	153	76	38	147	73	36	18	137	196		92.4		0.6376		380		6.33
98	177	216	236	118	187	93	46	151	75		139.7		0.4522		390		6.5
165	82	169	212	234	245	250	125	190	223		189.5		0.2569		400		6.67
111	183	219	109	54	27	141	198	99	49		119.0		0.5333		410		6.83
152	204	102	51	25	12	134	67	161	80		98.8		0.6125		420		7.0
40	148	202	229	114	57	156	78	167	211		140.2		0.4502		430		7.17
233	244	122	61	30	143	71	35	17	8		96.4		0.622		440		7.33
4	130	193	224	240	248	252	126	191	223		183.1		0.282		450		7.5
111	183	219	237	118	187	93	174	87	43		145.2		0.4306		460		7.67
21	138	197	226	113	56	156	206	103	179		139.5		0.4529		470		7.83
89	44	150	203	229	114	57	156	206	231		147.9		0.42		480		8.0
243	121	188	94	47	151	203	101	178	89		141.5		0.4451		490		8.17
44	22	11	5	130	65	32	144	72	36		56.1		0.78		500		8.33
146	73	36	146	201	100	50	153	76	166		114.7		0.5502		510		8.5
211	233	244	122	189	222	239	247	123	61		189.1		0.2584		520		8.67
30	143	71	163	81	168	212	234	245	250		159.7		0.3737		530		8.83
125	190	95	175	215	235	117	58	29	14		125.3		0.5086		540		9.0
7	3	1	128	192	96	176	88	172	214		107.7		0.5776		550		9.17
107	181	90	173	86	171	213	106	53	154		133.4		0.4769		560		9.33
205	230	243	121	188	94	47	151	75	165		151.9		0.4043		570		9.5
210	105	52	26	13	134	67	33	16	136		79.2		0.6894		580		9.67
68	34	17	8	132	194	225	112	56	28		87.4		0.6573		590		9.83
142	199	227	241	248	124	62	159	207	103		171.2		0.3286		600		10.0
51	25	12	6	131	65	160	208	232	244		113.4		0.5553		610		10.17
122	189	222	111	183	219	237	118	187	93		168.1		0.3408		620		10.33
46	23	11	5	130	193	224	240	120	188		118.0		0.5373		630		10.5
222	111	183	91	173	86	171	213	106	53		140.9		0.4475		640		10.67
154	77	166	211	105	180	90	45	22	11		106.1		0.5839		650		10.83
133	194	97	48	24	140	70	35	17	8		76.6		0.6996		660		11.0
132	66	161	80	40	148	202	229	114	185		135.7		0.4678		670		11.17
220	110	183	219	237	246	251	125	62	159		181.2		0.2894		680		11.33
79	39	19	137	196	226	241	248	252	254		169.1		0.3369		690		11.5
127	63	159	207	103	179	217	108	182	91		143.6		0.4369		700		11.67
45	150	75	37	146	201	100	178	89	44		106.5		0.5824		710		11.83
150	75	165	210	233	116	186	221	110	55		152.1		0.4035		720		12.0
27	141	198	227	241	248	124	190	95	47		153.8		0.3969		730		12.17
151	75	37	18	137	68	162	81	168	212		110.9		0.5651		740		12.33
234	245	250	253	126	63	159	207	231	115		188.3		0.2616		750		12.5
185	220	110	55	27	13	134	67	33	16		86.0		0.6627		760		12.67
8	132	194	97	48	152	204	102	179	217		133.3		0.4773		770		12.83
108	182	219	237	118	187	93	174	215	235		176.8		0.3067		780		13.0
117	186	221	238	119	187	93	174	87	171		159.3		0.3753		790		13.17
85	42	21	138	69	34	17	136	196	98		83.6		0.6722		800		13.33
49	24	140	70	35	145	72	36	146	201		91.8		0.64		810		13.5
100	50	25	140	70	163	209	232	116	58		116.3		0.5439		820		13.67
29	14	135	67	33	16	8	4	130	193		62.9		0.7533		830		13.83
224	240	248	124	62	159	207	103	179	217		176.3		0.3086		840		14.0
108	54	155	77	166	83	41	148	74	165		107.1		0.58		850		14.17
210	105	52	154	77	38	147	73	36	146		103.8		0.5929		860		14.33
201	100	178	217	236	246	251	253	254	255		219.1		0.1408		870		14.5
255	127	191	223	111	55	155	77	166	83		144.3		0.4341		880		14.67
41	148	202	101	178	89	44	150	75	165		119.3		0.5322		890		14.83
82	41	20	138	197	98	49	152	76	166		101.9		0.6004		900		15.0
211	233	244	122	61	30	143	199	99	49		139.1		0.4545		910		15.17
24	12	134	195	97	176	216	236	118	187		139.5		0.4529		920		15.33
221	238	119	187	221	110	183	91	45	22		143.7		0.4365		930		15.5
11	5	130	193	224	240	248	124	190	95		146.0		0.4275		940		15.67
175	87	171	213	106	181	90	45	150	75		129.3		0.4929		950		15.83
37	146	201	228	114	57	28	142	71	163		118.7		0.5345		960		16.0
81	40	20	138	197	98	49	152	204	102		108.1		0.5761		970		16.17
179	217	236	118	59	157	78	167	83	41		133.5		0.4765		980		16.33
20	10	5	130	193	224	240	248	124	62		125.6		0.5075		990		16.5
31	143	71	163	209	104	52	26	13	134		94.6		0.629		1000		16.67
67	33	144	72	36	18	9	4	130	65		57.8		0.7733		1010		16.83
32	16	8	4	130	193	96	176	88	44		78.7		0.6914		1020		17.0
22	139	197	226	241	120	60	30	143	71		124.9		0.5102		1030		17.17
35	145	200	100	50	153	204	230	115	57		128.9		0.4945		1040		17.33
28	14	135	67	161	80	168	212	106	181		115.2		0.5482		1050		17.5
218	109	182	219	237	118	187	93	46	23		143.2		0.4384		1060		17.67
139	69	162	209	232	244	122	61	158	79		147.5		0.4216		1070		17.83
167	83	169	84	42	21	10	5	130	65		77.6		0.6957		1080		18.0
160	80	40	148	74	37	18	9	4	2		57.2		0.7757		1090		18.17
129	64	32	144	72	164	82	169	212	106		117.4		0.5396		1100		18.33
181	90	173	86	171	85	42	149	202	229		140.8		0.4478		1110		18.5
242	249	252	254	255	127	191	95	175	87		192.7		0.2443		1120		18.67
171	213	234	117	186	93	174	87	43	21		133.9		0.4749		1130		18.83
10	5	2	1	0	128	192	224	112	184		85.8		0.6635		1140		19.0
92	174	215	235	245	122	189	94	175	215		175.6		0.3114		1150		19.17
107	53	154	205	230	243	121	188	222	111		163.4		0.3592		1160		19.33
183	91	173	214	107	181	90	45	150	75		130.9		0.4867		1170		19.5
37	18	9	132	66	33	16	136	196	98		74.1		0.7094		1180		19.67
49	24	12	134	195	225	112	56	156	78		104.1		0.5918		1190		19.83
167	211	105	180	90	173	86	171	85	170		143.8		0.4361		1200		20.0
