6 FRAME COLUMNS							AVERAGE		PBAG CHANCE		FRAMES PAST		SECONDS ELAPSED
165	82	169	84	42	149		115.17		0.5484		6		0.1
74	165	210	233	244	122		174.67		0.315		12		0.2
189	222	239	119	187	93		174.83		0.3144		18		0.3
46	151	75	165	210	105		125.33		0.5085		24		0.4
180	218	237	246	123	61		177.5		0.3039		30		0.5
30	15	135	195	97	48		86.67		0.6601		36		0.6
152	204	102	51	25	140		112.33		0.5595		42		0.7
198	227	241	120	60	158		167.33		0.3438		48		0.8
79	167	211	105	180	90		138.67		0.4562		54		0.9
173	86	43	21	138	69		88.33		0.6536		60		1.0
34	145	200	100	178	89		124.33		0.5124		66		1.1
44	150	203	101	50	153		116.83		0.5418		72		1.2
76	166	211	233	244	250		196.67		0.2288		78		1.3
253	254	255	255	127	63		201.17		0.2111		84		1.4
159	207	103	179	89	172		151.5		0.4059		90		1.5
214	107	53	154	77	166		128.5		0.4961		96		1.6
83	169	84	170	85	42		105.5		0.5863		102		1.7
21	10	5	130	193	96		75.83		0.7026		108		1.8
176	88	172	86	43	149		119.0		0.5333		114		1.9
202	229	114	185	92	46		144.67		0.4327		120		2.0
23	11	133	194	225	240		137.67		0.4601		126		2.1
120	60	158	79	39	147		100.5		0.6059		132		2.2
73	36	18	137	68	162		82.33		0.6771		138		2.3
81	168	212	106	181	218		161.0		0.3686		144		2.4
237	118	59	157	78	167		136.0		0.4667		150		2.5
83	169	212	106	53	154		129.5		0.4922		156		2.6
205	230	115	57	28	14		108.17		0.5758		162		2.7
7	131	65	32	144	200		96.5		0.6216		168		2.8
100	50	25	140	198	227		123.33		0.5163		174		2.9
241	120	60	30	15	135		100.17		0.6072		180		3.0
195	97	176	88	44	22		103.67		0.5935		186		3.1
11	5	130	65	32	16		43.17		0.8307		192		3.2
8	4	130	65	32	144		63.83		0.7497		198		3.3
72	36	18	137	68	162		82.17		0.6778		204		3.4
209	104	52	26	141	198		121.67		0.5229		210		3.5
227	241	248	124	62	159		176.83		0.3065		216		3.6
79	167	83	41	20	10		66.67		0.7386		222		3.7
133	194	97	176	216	236		175.33		0.3124		228		3.8
118	187	93	46	23	139		101.0		0.6039		234		3.9
197	98	177	216	236	118		173.67		0.319		240		4.0
59	29	142	199	99	177		117.5		0.5392		246		4.1
88	44	150	75	165	210		122.0		0.5216		252		4.2
105	180	90	173	86	43		112.83		0.5575		258		4.3
21	10	5	2	129	192		59.83		0.7654		264		4.4
96	176	216	108	182	219		166.17		0.3484		270		4.5
109	54	155	205	102	179		134.0		0.4745		276		4.6
217	236	246	251	125	190		210.83		0.1732		282		4.7
223	111	55	155	205	230		163.17		0.3601		288		4.8
115	185	220	238	119	59		156.0		0.3882		294		4.9
29	14	7	3	129	64		41.0		0.8392		300		5.0
160	208	232	116	186	93		165.83		0.3497		306		5.1
174	215	235	245	122	189		196.67		0.2288		312		5.2
94	47	151	75	37	146		91.67		0.6405		318		5.3
201	228	114	57	156	206		160.33		0.3712		324		5.4
103	179	89	44	22	11		74.67		0.7072		330		5.5
133	66	33	144	200	100		112.67		0.5582		336		5.6
50	25	140	70	35	145		77.5		0.6961		342		5.7
72	36	18	9	4	2		23.5		0.9078		348		5.8
1	128	64	32	16	136		62.83		0.7536		354		5.9
68	34	17	8	4	2		22.17		0.9131		360		6.0
129	64	32	16	136	68		74.17		0.7092		366		6.1
34	145	200	100	50	153		113.67		0.5542		372		6.2
76	38	147	73	36	18		64.67		0.7464		378		6.3
137	196	98	177	216	236		176.67		0.3072		384		6.4
118	187	93	46	151	75		111.67		0.5621		390		6.5
165	82	169	212	234	245		184.5		0.2765		396		6.6
250	125	190	223	111	183		180.33		0.2928		402		6.7
219	109	54	27	141	198		124.67		0.5111		408		6.8
99	49	152	204	102	51		109.5		0.5706		414		6.9
25	12	134	67	161	80		79.83		0.6869		420		7.0
40	148	202	229	114	57		131.67		0.4837		426		7.1
156	78	167	211	233	244		181.5		0.2882		432		7.2
122	61	30	143	71	35		77.0		0.698		438		7.3
17	8	4	130	193	224		96.0		0.6235		444		7.4
240	248	252	126	191	223		213.33		0.1634		450		7.5
111	183	219	237	118	187		175.83		0.3105		456		7.6
93	174	87	43	21	138		92.67		0.6366		462		7.7
197	226	113	56	156	206		159.0		0.3765		468		7.8
103	179	89	44	150	203		128.0		0.498		474		7.9
229	114	57	156	206	231		165.5		0.351		480		8.0
243	121	188	94	47	151		140.67		0.4484		486		8.1
203	101	178	89	44	22		106.17		0.5837		492		8.2
11	5	130	65	32	144		64.5		0.7471		498		8.3
72	36	146	73	36	146		84.83		0.6673		504		8.4
201	100	50	153	76	166		124.33		0.5124		510		8.5
211	233	244	122	189	222		203.5		0.202		516		8.6
239	247	123	61	30	143		140.5		0.449		522		8.7
71	163	81	168	212	234		154.83		0.3928		528		8.8
245	250	125	190	95	175		180.0		0.2941		534		8.9
215	235	117	58	29	14		111.33		0.5634		540		9.0
7	3	1	128	192	96		71.17		0.7209		546		9.1
176	88	172	214	107	181		156.33		0.3869		552		9.2
90	173	86	171	213	106		139.83		0.4516		558		9.3
53	154	205	230	243	121		167.67		0.3425		564		9.4
188	94	47	151	75	165		120.0		0.5294		570		9.5
210	105	52	26	13	134		90.0		0.6471		576		9.6
67	33	16	136	68	34		59.0		0.7686		582		9.7
17	8	132	194	225	112		114.67		0.5503		588		9.8
56	28	142	199	227	241		148.83		0.4163		594		9.9
248	124	62	159	207	103		150.5		0.4098		600		10.0
51	25	12	6	131	65		48.33		0.8105		606		10.1
160	208	232	244	122	189		192.5		0.2451		612		10.2
222	111	183	219	237	118		181.67		0.2876		618		10.3
187	93	46	23	11	5		60.83		0.7614		624		10.4
130	193	224	240	120	188		182.5		0.2843		630		10.5
222	111	183	91	173	86		144.33		0.434		636		10.6
171	213	106	53	154	77		129.0		0.4941		642		10.7
166	211	105	180	90	45		132.83		0.4791		648		10.8
22	11	133	194	97	48		84.17		0.6699		654		10.9
24	140	70	35	17	8		49.0		0.8078		660		11.0
132	66	161	80	40	148		104.5		0.5902		666		11.1
202	229	114	185	220	110		176.67		0.3072		672		11.2
183	219	237	246	251	125		210.17		0.1758		678		11.3
62	159	79	39	19	137		82.5		0.6765		684		11.4
196	226	241	248	252	254		236.17		0.0739		690		11.5
127	63	159	207	103	179		139.67		0.4523		696		11.6
217	108	182	91	45	150		132.17		0.4817		702		11.7
75	37	146	201	100	178		122.83		0.5183		708		11.8
89	44	150	75	165	210		122.17		0.5209		714		11.9
233	116	186	221	110	55		153.5		0.398		720		12.0
